Date,date,sample,Site,Sub,Time,Location,Location_1,Qmax_ft3/s,Qmax,Rain_Hilo_in,Rain_Hilo,Site_Group_old,Site_Group,Water_Level,Sal_Group,Sal_Group_n,Sal,Temp,DO,DO_mg,Turb,Turb_n,Bay_Prox_mod,Bay_Prox,Stream_Prox_m,Stream_Prox_n,OSDS_1km,OSDS_n,Tide_mod,Tide,Staph_W,MRSA_W,Ent_W_RAW,Ent_W,Cperf_W,N_N,PO4_RAW,PO4,H4SiO4,NH4,TDP_RAW,TDP,DOP,DOC,TDN,DON,Sand_Wet,Sand_Dry,Sand_Moist_Raw1,Sand_Moist_Percent,Sand_Moist,Sand_OM_Raw,Sand_OM,Gravel,Sand,Silt_Clay,Staph_S_,Staph_S,MRSA_S_,MRSA_S,Ent_S_,Ent_S,Cperf_S_,Cperf_S,two_,one_,zero,one,two,three,four,Catch_pan,Total_Weight,ntwo_,none_,zero_,one__,two__,three_,four_,Catch_pan_,Total_
6/29/17,29-Jun-17,96,1,C,8:22:00 AM,Richardson,RN,,,0.03,0.0762,10,3,0.483,High,3,28.8,24.5,101.4,7.76,0.6,0.6,2,Out,6180,3,13,1,1,Ebb,810,512,97,97,1,,,,,,,,,,,,10.12345,9.46945,0.654,6.460248236,65,0.11085,11.085,20.82,78.13,0.0001,0,0,0,0,4,44,0,0,,,,,,,,,,,,,,,,,,
3/7/18,7-Mar-18,151,1,B,8:36:00 AM,Richardson,RN,,,0.22,0.5588,10,3,0.35,High,3,26.9,22,86.1,6.52,0.79,0.79,2,Out,6180,3,13,1,1,Ebb,0,0,31,31,0,4.11,0.29,0.29,36.65,0.95,0.59,0.59,0.3,486.9,19.5,14.44,10.12345,9.46945,0.654,6.460248236,65,0.11085,11.085,20.82,78.13,0.0001,0,0,0,0,0,4,0,0,0,0.54,1.67,3.71,2.7,0.23,0.02,0,8.86,0,6.09,18.85,41.87,30.47,2.6,0.23,0,100.11
3/7/18,7-Mar-18,152,1,C,8:36:00 AM,Richardson,RN,,,0.22,0.5588,10,3,0.35,High,3,27.5,22.1,84.8,6.34,0.95,0.95,2,Out,6180,3,13,1,1,Ebb,0,0,30,30,1,4.11,0.29,0.29,36.65,0.95,0.59,0.59,0.3,486.9,19.5,14.44,10.12345,9.46945,0.654,6.460248236,65,0.11085,11.085,20.82,78.13,0.0001,0,0,0,0,1,9,0,0,0,0.54,1.67,3.71,2.7,0.23,0.02,0,8.86,0,6.09,18.85,41.87,30.47,2.6,0.23,0,100.11
3/7/18,7-Mar-18,153,1,A,8:36:00 AM,Richardson,RN,,,0.22,0.5588,10,3,0.35,High,3,27.1,22,86.4,6.57,0.72,0.72,2,Out,6180,3,13,1,1,Ebb,30,0,63,63,1,4.11,0.29,0.29,36.65,0.95,0.59,0.59,0.3,486.9,19.5,14.44,10.12345,9.46945,0.654,6.460248236,65,0.11085,11.085,20.82,78.13,0.0001,0,0,0,0,2,19,1,9,0,0.54,1.67,3.71,2.7,0.23,0.02,0,8.86,0,6.09,18.85,41.87,30.47,2.6,0.23,0,100.11
7/18/16,18-Jul-16,6,5,C,,Honoli'i,HL,,,0,0,30,1,,,,,,,,,,2,Out,160,1,43,2,,,5,,270,270,0,,,,,,,,,,,,10.081225,9.25945,0.821775,8.151539123,119,0.3573,35.73,20.05,79.72,0.0001,0,0,,,2,18,0,0,,,,,,,,,,,,,,,,,,
7/18/16,18-Jul-16,8,4,C,,Bayfront,BF,,,0,0,30,1,,,,,,,,,,1,In,500,1,29,2,,,30,,528,528,0,,,,,,,,,,,,10.06065,8.873725,1.186925,11.79769697,119,0.377975,37.7975,0.81,97.28,0.65,0,0,,,4,37,0,0,,,,,,,,,,,,,,,,,,
7/18/16,18-Jul-16,11,4,A,,Bayfront,BF,,,0,0,30,1,,,,,,,,,,1,In,500,1,29,2,,,23,,4822,4822,0,,,,,,,,,,,,10.06065,8.873725,1.186925,11.79769697,119,0.377975,37.7975,0.81,97.28,0.65,0,0,,,5,47,0,0,,,,,,,,,,,,,,,,,,
3/21/18,21-Mar-18,157,4,A,7:55:00 AM,Bayfront,BF,100,2.831657936,0.13,0.3302,30,1,0.281,High,3,30.7,22.9,83.6,6.17,125,,1,In,500,1,29,2,1,Ebb,2800,596,3654,3654,1,5.57,0.21,0.21,42.49,0.96,0.5,0.5,0.29,344.1,16.8,10.27,10.06065,8.873725,1.186925,11.79769697,119,0.377975,37.7975,0.81,97.28,0.65,0,0,0,0,7,70,0,0,0,0.2,0.03,0.15,2.09,4.63,0.79,0.16,8.18,0,2.44,0.37,1.83,25.55,56.6,9.66,1.96,98.41
3/21/18,21-Mar-18,158,4,B,7:55:00 AM,Bayfront,BF,100,2.831657936,0.13,0.3302,30,1,0.281,High,3,30.9,23,84.4,5.97,70.1,,1,In,500,1,29,2,1,Ebb,1240,730,934,934,18,5.57,0.21,0.21,42.49,0.96,0.5,0.5,0.29,344.1,16.8,10.27,10.06065,8.873725,1.186925,11.79769697,119,0.377975,37.7975,0.81,97.28,0.65,0,0,0,0,2,24,0,0,0,0.2,0.03,0.15,2.09,4.63,0.79,0.16,8.18,0,2.44,0.37,1.83,25.55,56.6,9.66,1.96,98.41
3/21/18,21-Mar-18,159,4,C,7:55:00 AM,Bayfront,BF,100,2.831657936,0.13,0.3302,30,1,0.281,High,3,30.8,22.9,78.3,5.69,196,,1,In,500,1,29,2,1,Ebb,0,523,6131,6131,20,5.57,0.21,0.21,42.49,0.96,0.5,0.5,0.29,344.1,16.8,10.27,10.06065,8.873725,1.186925,11.79769697,119,0.377975,37.7975,0.81,97.28,0.65,0,0,0,0,1,9,0,0,0,0.2,0.03,0.15,2.09,4.63,0.79,0.16,8.18,0,2.44,0.37,1.83,25.55,56.6,9.66,1.96,98.41
